element_type,osmid,name,shop,geometry,amenity,name:ru,operator,phone,website,nodes,addr:city,addr:country,addr:housenumber,addr:region,addr:street,building,tourism,building:levels,smoking,denomination,historic,religion,leisure,opening_hours,abandoned,abandoned:cafe,description,office,branch,brand:wikidata,brand:wikipedia,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:twitter,contact:vk,contact:website,name:en,ref,wheelchair,abandoned:shop,abandoned:building,aeroway,club,power,ways,type
way,659767149,,,"POLYGON ((37.2651565 58.6585982, 37.2652035 58.6586599, 37.2652658 58.6586471, 37.2652189 58.6585854, 37.2651565 58.6585982))",,,,,,"[6177062126, 6177062127, 6177062128, 6177062129, 6177062126]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767150,,,"POLYGON ((37.2653531 58.6585086, 37.2654146 58.6585574, 37.2653895 58.658566, 37.2654221 58.6585919, 37.2655806 58.6585378, 37.2654864 58.6584631, 37.2653531 58.6585086))",,,,,,"[6177062130, 6177062131, 6177062132, 6177062133, 6177062134, 6177062135, 6177062130]",,,14,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767152,,,"POLYGON ((37.2651859 58.6584309, 37.2652645 58.6584835, 37.2653247 58.6584592, 37.2652462 58.6584066, 37.2651859 58.6584309))",,,,,,"[6177062136, 6177062137, 6177062138, 6177062139, 6177062136]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767153,,,"POLYGON ((37.2657681 58.6585602, 37.2658594 58.6585432, 37.2658123 58.6584746, 37.2657209 58.6584915, 37.2657681 58.6585602))",,,,,,"[6177062140, 6177062141, 6177062142, 6177062143, 6177062140]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767154,,,"POLYGON ((37.265711 58.6583011, 37.2658052 58.6583389, 37.2658359 58.6583182, 37.265888 58.6583391, 37.2659715 58.6582829, 37.2657641 58.6581996, 37.2656801 58.6582562, 37.2657413 58.6582807, 37.265711 58.6583011))",,,,,,"[6177062144, 6177062145, 6177062146, 6177062147, 6177062148, 6177062149, 6177062150, 6177062151, 6177062144]",,,16,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767155,,,"POLYGON ((37.2656398 58.6581928, 37.2657092 58.65814, 37.2656411 58.6581157, 37.2655716 58.6581685, 37.2656398 58.6581928))",,,,,,"[6177062152, 6177062153, 6177062154, 6177062155, 6177062152]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767156,,,"POLYGON ((37.2661549 58.6579435, 37.2662406 58.657978, 37.2661983 58.6580064, 37.2662662 58.6580338, 37.2663693 58.6579646, 37.2663218 58.6579454, 37.2663476 58.6579281, 37.2661934 58.6578659, 37.2661322 58.657907, 37.2661803 58.6579264, 37.2661549 58.6579435))",,,,,,"[6177062156, 6177062157, 6177062158, 6177062159, 6177062160, 6177062161, 6177062162, 6177062163, 6177062164, 6177062165, 6177062156]",,,1,,улица Дружбы,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767158,,,"POLYGON ((37.2664221 58.6578542, 37.2665396 58.6579049, 37.2665795 58.6578798, 37.266462 58.6578291, 37.2664221 58.6578542))",,,,,,"[6177062166, 6177062167, 6177062168, 6177062169, 6177062166]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767159,,,"POLYGON ((37.2664016 58.6581432, 37.2664996 58.6581778, 37.2665411 58.658146, 37.266443 58.6581114, 37.2664016 58.6581432))",,,,,,"[6177062170, 6177062171, 6177062172, 6177062173, 6177062170]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767160,,,"POLYGON ((37.266486 58.6580823, 37.2665527 58.658107, 37.2666273 58.6580524, 37.2665606 58.6580277, 37.266486 58.6580823))",,,,,,"[6177062174, 6177062175, 6177062176, 6177062177, 6177062174]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659767162,,,"POLYGON ((37.2665161 58.6580496, 37.2665647 58.6580137, 37.2665239 58.6579988, 37.2664754 58.6580346, 37.2665161 58.6580496))",,,,,,"[6177062178, 6177062179, 6177062180, 6177062181, 6177062178]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769070,,,"POLYGON ((37.2671585 58.6579016, 37.2672547 58.657968, 37.2674095 58.6579073, 37.2673508 58.6578668, 37.2673206 58.6578786, 37.2672832 58.6578527, 37.2671585 58.6579016))",,,,,,"[6177079444, 6177079445, 6177079446, 6177079447, 6177079448, 6177079449, 6177079444]",,,22/2,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769071,,,"POLYGON ((37.2674267 58.6579412, 37.2675119 58.6578999, 37.2674792 58.6578817, 37.267394 58.657923, 37.2674267 58.6579412))",,,,,,"[6177079450, 6177079451, 6177079452, 6177079453, 6177079450]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769072,,,"POLYGON ((37.2675475 58.6577625, 37.2676659 58.6578323, 37.2677914 58.6577747, 37.2677081 58.6577255, 37.2676801 58.6577384, 37.2676451 58.6577177, 37.2675475 58.6577625))",,,,,,"[6177079454, 6177079455, 6177079456, 6177079457, 6177079458, 6177079459, 6177079454]",,,24,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769074,,,"POLYGON ((37.268951 58.6570107, 37.2691933 58.6571719, 37.2693286 58.6571169, 37.2690862 58.6569557, 37.268951 58.6570107))",,,,,,"[6177079464, 6177079465, 6177079466, 6177079467, 6177079464]",,,,,,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769078,,,"POLYGON ((37.2673708 58.6578033, 37.2674496 58.6578535, 37.267513 58.6578266, 37.2674342 58.6577764, 37.2673708 58.6578033))",,,,,,"[6177079477, 6177079478, 6177079479, 6177079480, 6177079477]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769079,,,"POLYGON ((37.2670739 58.6576584, 37.2671642 58.6576266, 37.2671232 58.6575952, 37.2670329 58.657627, 37.2670739 58.6576584))",,,,,,"[6177079481, 6177079482, 6177079483, 6177079484, 6177079481]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769080,,,"POLYGON ((37.2676451 58.6574533, 37.267726 58.6574223, 37.2676829 58.6573918, 37.267602 58.6574228, 37.2676451 58.6574533))",,,,,,"[6177080285, 6177080286, 6177080287, 6177080288, 6177080285]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769081,,,"POLYGON ((37.2677366 58.6576116, 37.2678971 58.6577065, 37.2679867 58.6576655, 37.2678261 58.6575706, 37.2677366 58.6576116))",,,,,,"[6177080289, 6177080290, 6177080291, 6177080292, 6177080289]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769082,,,"POLYGON ((37.2680429 58.6575456, 37.2681552 58.6576153, 37.268258 58.6575704, 37.2682355 58.6575564, 37.2682569 58.6575471, 37.2681671 58.6574914, 37.2680429 58.6575456))",,,,,,"[6177080293, 6177080294, 6177080295, 6177080296, 6177080297, 6177080298, 6177080293]",,,26,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769083,,,"POLYGON ((37.2680986 58.6574145, 37.2682233 58.6574966, 37.2682784 58.657474, 37.2681537 58.6573919, 37.2680986 58.6574145))",,,,,,"[6177080299, 6177080300, 6177080301, 6177080302, 6177080299]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769084,,,"POLYGON ((37.2682381 58.6575011, 37.2683097 58.6575459, 37.2683233 58.6575544, 37.2683723 58.6575331, 37.2683625 58.657527, 37.2682871 58.6574799, 37.2682381 58.6575011))",,,,,,"[6177080303, 6177095161, 6177080304, 6177080305, 6177095160, 6177080306, 6177080303]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769085,,,"POLYGON ((37.2683465 58.6574155, 37.2684593 58.6574853, 37.2685544 58.6574436, 37.2685229 58.6574242, 37.2685424 58.6574156, 37.2684612 58.6573654, 37.2683465 58.6574155))",,,,,,"[6177080307, 6177080308, 6177080309, 6177080310, 6177080311, 6177080312, 6177080307]",,,28,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769086,,,"POLYGON ((37.2683757 58.6572861, 37.2684612 58.6573434, 37.2685164 58.6573211, 37.2684309 58.6572638, 37.2683757 58.6572861))",,,,,,"[6177080313, 6177080314, 6177080315, 6177080316, 6177080313]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769088,,,"POLYGON ((37.2685378 58.6573795, 37.2686066 58.6574219, 37.2686607 58.6573981, 37.2685919 58.6573557, 37.2685378 58.6573795))",,,,,,"[6177080317, 6177080318, 6177095163, 6177080320, 6177080317]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769089,,,"POLYGON ((37.2685281 58.6572603, 37.2685831 58.6572388, 37.2685469 58.6572137, 37.2684918 58.6572352, 37.2685281 58.6572603))",,,,,,"[6177080321, 6177080322, 6177080323, 6177080324, 6177080321]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769090,,,"POLYGON ((37.26866 58.6571937, 37.2688488 58.6573166, 37.2690011 58.6572533, 37.2688124 58.6571304, 37.26866 58.6571937))",,,,,,"[6177080325, 6177080326, 6177080327, 6177080328, 6177080325]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769092,,,"POLYGON ((37.2698178 58.657053, 37.2700001 58.6571034, 37.2700764 58.6570288, 37.2698942 58.6569783, 37.2698178 58.657053))",,,,,,"[6177080333, 6177080334, 6177080335, 6177080336, 6177080333]",,,55,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769093,,,"POLYGON ((37.2700796 58.6571466, 37.2701989 58.6571783, 37.270265 58.6571109, 37.2701457 58.6570792, 37.2700796 58.6571466))",,,,,,"[6177080337, 6177080338, 6177080339, 6177080340, 6177080337]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769094,,,"POLYGON ((37.2702109 58.6571825, 37.2702593 58.6571964, 37.270279 58.6571777, 37.2703201 58.6571388, 37.2702717 58.657125, 37.2702109 58.6571825))",,,,,,"[6177080342, 6177080343, 6177080356, 6177080344, 6177080345, 6177080342]",,,,,,garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769095,,,"POLYGON ((37.2704076 58.6572102, 37.2706033 58.6572602, 37.2706807 58.6571783, 37.2706533 58.6571713, 37.2707651 58.657053, 37.2706878 58.6570332, 37.270581 58.6571463, 37.2704283 58.6571073, 37.2703759 58.6571628, 37.2704375 58.6571785, 37.2704076 58.6572102))",,,,,,"[6177080346, 6177080347, 6177080348, 6177080353, 6177080354, 6177080355, 6177080352, 6177080349, 6177080350, 6177080351, 6177080346]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769102,,,"POLYGON ((37.2705514 58.6564841, 37.2706987 58.6565292, 37.2708003 58.6564395, 37.270653 58.6563944, 37.2705985 58.6564426, 37.2705514 58.6564841))",,,,,,"[6177080365, 6177080366, 6177080367, 6177080368, 6177080373, 6177080365]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769103,,,"POLYGON ((37.2709845 58.6565301, 37.2711727 58.6565876, 37.2712606 58.6565098, 37.2710724 58.6564523, 37.2709845 58.6565301))",,,,,,"[6177080369, 6177080370, 6177080371, 6177080372, 6177080369]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769105,,,"POLYGON ((37.2708442 58.6562439, 37.2709825 58.6562909, 37.2710376 58.6562471, 37.2708993 58.6562001, 37.2708442 58.6562439))",,,,,,"[6177080379, 6177080380, 6177080381, 6177080382, 6177080379]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769106,,,"POLYGON ((37.2709076 58.6563629, 37.2709632 58.6563795, 37.2710065 58.6563403, 37.2709509 58.6563237, 37.2709076 58.6563629))",,,,,,"[6177080384, 6177080485, 6177080486, 6177080487, 6177080384]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769107,,,"POLYGON ((37.2708926 58.6565983, 37.2710072 58.6566343, 37.2710493 58.6565979, 37.2709348 58.6565619, 37.2708926 58.6565983))",,,,,,"[6177080488, 6177080489, 6177080490, 6177080491, 6177080488]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769108,,,"POLYGON ((37.2710533 58.6566143, 37.2711288 58.6566383, 37.2711644 58.656608, 37.271089 58.656584, 37.2710533 58.6566143))",,,,,,"[6177080492, 6177080493, 6177080494, 6177080495, 6177080492]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769110,,,"POLYGON ((37.2703462 58.6566496, 37.270482 58.6566898, 37.2705739 58.6566059, 37.2705343 58.6565942, 37.2705787 58.6565536, 37.2704825 58.6565251, 37.2703462 58.6566496))",,,,,,"[6177080503, 6177080498, 6177080499, 6177080500, 6177080501, 6177080502, 6177080503]",,,59,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769112,,,"POLYGON ((37.2714875 58.6565017, 37.2715698 58.6565271, 37.2715886 58.6565106, 37.2717604 58.6565637, 37.2718383 58.6564954, 37.271669 58.6564432, 37.2716352 58.6564728, 37.2715503 58.6564466, 37.2714875 58.6565017))",,,,,,"[6177080504, 6177080505, 6177080506, 6177080507, 6177080508, 6177080509, 6177080510, 6177080511, 6177080504]",,,64,,улица Жигарева,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659769113,,,"POLYGON ((37.271986 58.656465, 37.2720431 58.6564718, 37.2720534 58.6564483, 37.2720784 58.6564512, 37.2720932 58.6564174, 37.2720111 58.6564077, 37.271986 58.656465))",,,,,,"[6177080512, 6177080513, 6177080514, 6177080515, 6177080516, 6177080517, 6177080512]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659771615,,,"POLYGON ((37.2731724 58.6558355, 37.2732559 58.6558398, 37.273264 58.6557976, 37.2731805 58.6557933, 37.2731724 58.6558355))",,,,,,"[6177095141, 6177095142, 6177095143, 6177095144, 6177095141]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659771619,,,"POLYGON ((37.2627001 58.6582972, 37.2628138 58.6582845, 37.2627455 58.658118, 37.2626318 58.6581306, 37.2627001 58.6582972))",,,,,,"[6177095147, 6177095148, 6177095149, 6177095150, 6177095147]",,,,,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659771631,,,"POLYGON ((37.2704282 58.6569397, 37.2705643 58.656977, 37.2706333 58.6569089, 37.2704972 58.6568716, 37.2704282 58.6569397))",,,,,,"[6177095165, 6177095166, 6177095167, 6177095168, 6177095165]",,,57,,улица Жигарева,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775900,,,"POLYGON ((37.24505 58.6603023, 37.2451199 58.6602896, 37.2451259 58.6602985, 37.2451869 58.6602875, 37.2451771 58.6602729, 37.2452669 58.6602566, 37.2452086 58.6601697, 37.2449879 58.6602097, 37.24505 58.6603023))",,,,,,"[6177141480, 6177141481, 6177141482, 6177141483, 6177141484, 6177141485, 6177141486, 6177141487, 6177141480]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775918,,,"POLYGON ((37.2420637 58.6592704, 37.2422324 58.6592392, 37.2421589 58.6591316, 37.2419902 58.6591628, 37.2420637 58.6592704))",,,,,,"[6177141549, 6177141550, 6177141551, 6177141552, 6177141549]",,,11/9,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775920,,,"POLYGON ((37.2415971 58.6592304, 37.2412669 58.6592294, 37.2412658 58.6593345, 37.2414659 58.6593351, 37.241466 58.659324, 37.2415165 58.6593241, 37.2415159 58.6593815, 37.2415954 58.6593818, 37.2415971 58.6592304))",,,,,,"[6177141553, 6177141554, 6177141555, 6177141556, 6177141557, 6177141558, 6177141559, 6177141560, 6177141553]",,,13,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775922,,,"POLYGON ((37.2411086 58.6593118, 37.2411825 58.6593112, 37.2411801 58.6592336, 37.2411063 58.6592342, 37.2411086 58.6593118))",,,,,,"[6177141561, 6177141562, 6177141563, 6177141564, 6177141561]",,,,,,garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775924,,,"POLYGON ((37.2408231 58.6593964, 37.2409699 58.6593969, 37.2409693 58.6594386, 37.2409906 58.6594387, 37.2409899 58.6594913, 37.2410495 58.6594915, 37.2410507 58.6593983, 37.2410344 58.6593982, 37.2410357 58.6593035, 37.2408244 58.6593027, 37.2408231 58.6593964))",,,,,,"[6177141565, 6177141566, 6177141567, 6177141568, 6177141569, 6177141570, 6177141571, 6177141572, 6177141573, 6177141574, 6177141565]",,,15,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775926,,,"POLYGON ((37.2406963 58.6592282, 37.240541 58.6592281, 37.2405408 58.6593454, 37.2406962 58.6593455, 37.2406963 58.6592282))",,,,,,"[6177141575, 6177141576, 6177141577, 6177141578, 6177141575]",,,17,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775928,,,"POLYGON ((37.2401108 58.6593456, 37.2401525 58.6593457, 37.2401524 58.6593527, 37.2401813 58.6593527, 37.2401814 58.6593411, 37.2402187 58.6593412, 37.2402187 58.6593317, 37.2402449 58.6593317, 37.2402451 58.6593107, 37.2402217 58.6593106, 37.2402224 58.6592267, 37.2401119 58.6592265, 37.2401108 58.6593456))",,,,,,"[6177141579, 6177141580, 6177141581, 6177141582, 6177141583, 6177141584, 6177141585, 6177141586, 6177141587, 6177141588, 6177141589, 6177141590, 6177141579]",,,19,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775929,,,"POLYGON ((37.2402797 58.6593094, 37.2403347 58.6593095, 37.2403351 58.6592649, 37.2402801 58.6592648, 37.2402797 58.6593094))",,,,,,"[6177141591, 6177141592, 6177141593, 6177141594, 6177141591]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775930,,,"POLYGON ((37.2399132 58.6592914, 37.2400028 58.659292, 37.2400045 58.6592241, 37.2399149 58.6592235, 37.2399132 58.6592914))",,,,,,"[6177141595, 6177141596, 6177141597, 6177141598, 6177141595]",,,,,,garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775932,,,"POLYGON ((37.2398216 58.6592226, 37.2396168 58.6592202, 37.2396119 58.6593357, 37.2398166 58.659338, 37.2398216 58.6592226))",,,,,,"[6177141599, 6177141600, 6177141601, 6177141602, 6177141599]",,,21,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775933,,,"POLYGON ((37.2396566 58.6594282, 37.2397725 58.6594293, 37.2397738 58.659393, 37.239658 58.6593919, 37.2396566 58.6594282))",,,,,,"[6177141603, 6177141604, 6177141605, 6177141606, 6177141603]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775934,,,"POLYGON ((37.2395459 58.6592237, 37.2394107 58.6592219, 37.2394075 58.6592852, 37.2395426 58.659287, 37.2395459 58.6592237))",,,,,,"[6177141607, 6177141608, 6177141609, 6177141610, 6177141607]",,,,,,garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775935,,,"POLYGON ((37.2394046 58.6593719, 37.2394993 58.659373, 37.2395019 58.6593089, 37.2394072 58.6593078, 37.2394046 58.6593719))",,,,,,"[6177141611, 6177141612, 6177141613, 6177141614, 6177141611]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775936,,,"POLYGON ((37.2393127 58.6594196, 37.2393877 58.6594208, 37.2393908 58.6593677, 37.2393158 58.6593665, 37.2393127 58.6594196))",,,,,,"[6177141615, 6177141616, 6177141617, 6177141618, 6177141615]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775937,,,"POLYGON ((37.2392659 58.6592182, 37.2390485 58.659215, 37.2390454 58.6592727, 37.2391127 58.6592737, 37.2391077 58.6593661, 37.2392578 58.6593683, 37.2392659 58.6592182))",,,,,,"[6177141619, 6177141620, 6177141621, 6177141622, 6177141623, 6177141624, 6177141619]",,,21А,,улица Мира,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775940,,,"POLYGON ((37.2397248 58.6596813, 37.239322 58.6596715, 37.2393146 58.6597537, 37.2397669 58.6597647, 37.2397683 58.6597495, 37.2398117 58.6597505, 37.2398152 58.6597109, 37.2397797 58.6597101, 37.2397807 58.659698, 37.2397234 58.6596966, 37.2397248 58.6596813))",,,,,,"[6177141660, 6177141661, 6177141662, 6177141663, 6177141664, 6177141665, 6177141666, 6177141667, 6177141668, 6177141669, 6177141660]",,,5,,Песчаный переулок,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775941,,,"POLYGON ((37.2393515 58.6596201, 37.2394996 58.6596225, 37.2395022 58.65958, 37.2393541 58.6595775, 37.2393515 58.6596201))",,,,,,"[6177141670, 6177141671, 6177141672, 6177141673, 6177141670]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775943,,,"POLYGON ((37.239866 58.6596261, 37.2399557 58.659627, 37.239957 58.6595953, 37.2398672 58.6595943, 37.239866 58.6596261))",,,,,,"[6177141675, 6177141676, 6177141677, 6177141678, 6177141675]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775944,,,"POLYGON ((37.2398123 58.6597987, 37.2399738 58.6598013, 37.2399755 58.6597738, 37.239814 58.6597711, 37.2398123 58.6597987))",,,,,,"[6177141679, 6177141680, 6177141681, 6177141682, 6177141679]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775945,,,"POLYGON ((37.2398882 58.6596907, 37.2398863 58.6597238, 37.2399012 58.6597241, 37.239899 58.6597637, 37.2399621 58.6597647, 37.2399662 58.6596919, 37.2398882 58.6596907))",,,,,,"[6177141683, 6177141684, 6177141685, 6177141686, 6177141687, 6177141688, 6177141683]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775946,,,"POLYGON ((37.2403927 58.6597748, 37.2405441 58.6597817, 37.2405487 58.6597543, 37.2405751 58.6597555, 37.2405814 58.659718, 37.2404037 58.6597099, 37.2403927 58.6597748))",,,,,,"[6177141689, 6177141690, 6177141691, 6177141692, 6177141693, 6177141694, 6177141689]",,,4,,Песчаный переулок,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775947,,,"POLYGON ((37.2403378 58.6596409, 37.2404453 58.6596417, 37.2404465 58.6595987, 37.240339 58.6595979, 37.2403378 58.6596409))",,,,,,"[6177141695, 6177141696, 6177141697, 6177141698, 6177141695]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775948,,,"POLYGON ((37.2409146 58.6597087, 37.2411342 58.6597085, 37.2411337 58.659601, 37.2409141 58.6596013, 37.2409146 58.6597087))",,,,,,"[6177141699, 6177141700, 6177141701, 6177141702, 6177141699]",,,3,,Песчаный переулок,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775949,,,"POLYGON ((37.2406374 58.6598613, 37.2408195 58.6598783, 37.2408353 58.6598328, 37.2406532 58.6598158, 37.2406374 58.6598613))",,,,,,"[6177141703, 6177141704, 6177141705, 6177141706, 6177141703]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775950,,,"POLYGON ((37.2409903 58.6598964, 37.2411508 58.6599132, 37.2411687 58.6598669, 37.2410081 58.6598502, 37.2409903 58.6598964))",,,,,,"[6177141707, 6177141708, 6177141709, 6177141710, 6177141707]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775951,,,"POLYGON ((37.2413761 58.6597418, 37.2415682 58.6597412, 37.2415678 58.659696, 37.2415991 58.659696, 37.2415989 58.6596751, 37.2415683 58.6596751, 37.2415679 58.6596305, 37.241375 58.659631, 37.2413761 58.6597418))",,,,,,"[6177141711, 6177141712, 6177141713, 6177141714, 6177141715, 6177141716, 6177141717, 6177141718, 6177141711]",,,2,,Песчаный переулок,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775952,,,"POLYGON ((37.2415183 58.6599498, 37.241607 58.6599513, 37.2416111 58.6598857, 37.2415224 58.6598842, 37.2415183 58.6599498))",,,,,,"[6177141719, 6177141720, 6177141721, 6177141722, 6177141719]",,,,,,garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775953,,,"POLYGON ((37.2423202 58.6598076, 37.2425165 58.6597795, 37.2424657 58.6596835, 37.2422693 58.6597116, 37.2423202 58.6598076))",,,,,,"[6177141723, 6177141724, 6177141725, 6177141726, 6177141723]",,,5/1,,улица Энтузиастов,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775954,,,"POLYGON ((37.2421923 58.6598858, 37.2423147 58.6598685, 37.2422829 58.6598077, 37.2421605 58.659825, 37.2421923 58.6598858))",,,,,,"[6177141727, 6177141728, 6177141729, 6177141730, 6177141727]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775955,,,"POLYGON ((37.242346 58.6598684, 37.2425461 58.6598409, 37.2425233 58.6597961, 37.2423233 58.6598236, 37.242346 58.6598684))",,,,,,"[6177141731, 6177141732, 6177141733, 6177141734, 6177141731]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775956,,,"POLYGON ((37.2420494 58.6597055, 37.2421887 58.6596843, 37.2421674 58.6596464, 37.2420281 58.6596676, 37.2420494 58.6597055))",,,,,,"[6177141735, 6177141736, 6177141737, 6177141738, 6177141735]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775957,,,"POLYGON ((37.2422241 58.6596809, 37.2423495 58.6596626, 37.242325 58.6596173, 37.2421996 58.6596356, 37.2422241 58.6596809))",,,,,,"[6177141739, 6177141740, 6177141741, 6177141742, 6177141739]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775958,,,"POLYGON ((37.2421142 58.659418, 37.2422181 58.6593982, 37.2421903 58.6593586, 37.2420863 58.6593785, 37.2421142 58.659418))",,,,,,"[6177141743, 6177141744, 6177141745, 6177141746, 6177141743]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659775959,,,"POLYGON ((37.2422023 58.6593544, 37.2422351 58.6594072, 37.2423063 58.6593952, 37.2422735 58.6593424, 37.2422023 58.6593544))",,,,,,"[6177141747, 6177141748, 6177141749, 6177141750, 6177141747]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
